ACC=0.623117, f1_macro=0.612920, precision_macro=0.681009, recall_macro=0.652416, f1_micro=0.623117, precision_micro=0.623117, recall_micro=0.623117, NMI=0.314825, ADJ_RAND_SCORE=0.280905
ACC=0.623066, f1_macro=0.612860, precision_macro=0.680897, recall_macro=0.652335, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.314757, ADJ_RAND_SCORE=0.280863
ACC=0.623066, f1_macro=0.612858, precision_macro=0.680965, recall_macro=0.652374, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.314807, ADJ_RAND_SCORE=0.280891
ACC=0.623066, f1_macro=0.612858, precision_macro=0.680965, recall_macro=0.652374, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.314807, ADJ_RAND_SCORE=0.280891
ACC=0.623066, f1_macro=0.612860, precision_macro=0.680897, recall_macro=0.652335, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.314757, ADJ_RAND_SCORE=0.280863
ACC=0.623117, f1_macro=0.612902, precision_macro=0.680970, recall_macro=0.652416, f1_micro=0.623117, precision_micro=0.623117, recall_micro=0.623117, NMI=0.314747, ADJ_RAND_SCORE=0.280871
ACC=0.624740, f1_macro=0.614798, precision_macro=0.680956, recall_macro=0.652915, f1_micro=0.624740, precision_micro=0.624740, recall_micro=0.624740, NMI=0.313571, ADJ_RAND_SCORE=0.280337
ACC=0.624588, f1_macro=0.614644, precision_macro=0.680697, recall_macro=0.652518, f1_micro=0.624588, precision_micro=0.624588, recall_micro=0.624588, NMI=0.313078, ADJ_RAND_SCORE=0.280057
ACC=0.624182, f1_macro=0.614120, precision_macro=0.681050, recall_macro=0.652374, f1_micro=0.624182, precision_micro=0.624182, recall_micro=0.624182, NMI=0.312654, ADJ_RAND_SCORE=0.279604
ACC=0.624588, f1_macro=0.614644, precision_macro=0.680697, recall_macro=0.652518, f1_micro=0.624588, precision_micro=0.624588, recall_micro=0.624588, NMI=0.313078, ADJ_RAND_SCORE=0.280057
